name,height_inches,weight_pounds,3pt_percent
Steven Adams,84,265,0.0
Bam Adebayo,82,255,11.8
Grayson Allen,77,198,37.9
Jarrett Allen,83,237,12.5
Kyle Anderson,81,230,36.5
Giannis Antetokounmpo,83,242,33.7
OG Anunoby,80,232,43.1
Ryan Arcidiacono,75,200,41.9
Deandre Ayton,85,250,36.4
Marvin Bagley III,83,234,40.0
Mo Bamba,84,221,44.3
Harrison Barnes,80,225,32.1
Will Barton,78,190,45.0
Keita Bates-Diop,81,229,34.2
Nicolas Batum,80,200,36.7
Bradley Beal,77,207,37.1
Malik Beasley,77,195,33.9
Davis Bertans,82,225,53.4
Patrick Beverley,73,185,29.7
Khem Birch,81,233,66.7
Bogdan Bogdanovic,78,205,37.6
Bojan Bogdanovic,80,216,44.1
Devin Booker,78,210,38.3
Chris Boucher,82,200,34.5
Tony Bradley,82,248,0.0
Mikal Bridges,79,210,37.7
Malcolm Brogdon,77,229,43.7
Dillon Brooks,78,220,28.9
Troy Brown Jr.,79,215,37.9
Bruce Brown,77,202,38.5
Jaylen Brown,79,220,31.2
Sterling Brown,78,232,0.0
Jalen Brunson,75,190,41.9
Thomas Bryant,83,248,48.2
Reggie Bullock,79,205,44.0
Alec Burks,78,214,40.0
Jimmy Butler,80,232,36.7
Kentavious Caldwell-Pope,77,205,43.9
Clint Capela,82,240,0.0
Wendell Carter Jr.,82,255,30.7
Jevon Carter,74,196,39.8
Alex Caruso,77,186,33.0
Jordan Clarkson,77,194,37.2
John Collins,82,235,32.8
Zach Collins,84,235,40.5
Mike Conley,73,175,40.1
Pat Connaughton,76,209,33.7
Robert Covington,81,225,43.4
Torrey Craig,79,215,35.2
Jae Crowder,78,235,42.9
Seth Curry,74,185,38.3
Stephen Curry,75,190,42.1
Anthony Davis,82,253,20.6
Dewayne Dedmon,84,245,25.0
Matthew Dellavedova,76,200,32.3
DeMar DeRozan,79,220,25.0
Hamidou Diallo,77,198,13.0
Gorgui Dieng,83,252,18.0
Spencer Dinwiddie,78,210,38.8
Donte DiVincenzo,76,203,39.4
Luka Doncic,79,218,36.2
Tyler Dorsey,77,183,100.0
PJ Dozier,78,205,33.3
Goran Dragic,75,190,36.2
Andre Drummond,83,279,0.0
Kris Dunn,76,205,42.1
Kevin Durant,81,240,37.6
Joel Embiid,84,250,32.7
Drew Eubanks,82,245,31.6
Dorian Finney-Smith,80,220,32.5
Bryn Forbes,75,190,33.3
Evan Fournier,79,205,25.7
De'Aaron Fox,75,175,33.7
Markelle Fultz,76,200,26.6
Wenyen Gabriel,81,205,19.4
Rudy Gay,80,230,23.9
Paul George,81,220,35.4
Taj Gibson,81,232,26.9
Shai Gilgeous-Alexander,78,181,34.7
Rudy Gobert,85,245,0.0
Aaron Gordon,81,220,30.6
Eric Gordon,76,215,34.7
Devonte' Graham,74,185,35.8
Jerami Grant,81,220,34.3
Danny Green,78,215,42.4
Draymond Green,79,230,28.2
JaMychal Green,81,227,37.8
Jeff Green,81,235,39.4
Blake Griffin,82,250,28.8
Tim Hardaway Jr.,78,205,39.3
James Harden,77,220,40.5
Montrezl Harrell,80,240,0.0
Gary Harris,76,210,44.4
Joe Harris,78,218,31.3
Shaquille Harrison,76,190,29.4
Tobias Harris,81,235,45.0
Isaiah Hartenstein,84,249,25.8
Josh Hart,77,215,38.8
Udonis Haslem,80,235,30.0
Gordon Hayward,80,225,32.4
Juancho Hernangomez,81,230,24.7
Willy Hernangomez,83,240,12.5
Buddy Hield,76,214,41.7
George Hill,75,188,44.8
Aaron Holiday,73,185,36.2
Jrue Holiday,76,205,35.0
Justin Holiday,78,181,21.6
Richaun Holmes,82,235,88.9
Al Horford,82,245,39.2
Kevin Huerter,79,190,37.4
Serge Ibaka,82,235,53.3
Andre Iguodala,78,215,0.0
Joe Ingles,80,226,39.8
Brandon Ingram,81,190,44.2
Kyrie Irving,75,193,43.5
Jonathan Isaac,82,210,33.3
Jaren Jackson Jr.,83,242,36.1
Frank Jackson,75,205,0.0
Justin Jackson,80,210,30.0
Reggie Jackson,75,208,31.6
LeBron James,80,250,30.6
James Johnson,80,240,21.7
Stanley Johnson,79,245,44.1
Nikola Jokic,84,250,42.5
Derrick Jones Jr.,79,200,41.2
Damian Jones,84,245,60.9
Tyus Jones,74,196,33.6
Cory Joseph,75,193,43.2
Frank Kaminsky,84,242,47.1
Luke Kennard,77,206,47.1
Maxi Kleber,83,240,38.3
Kevin Knox,81,215,31.8
Furkan Korkmaz,79,190,46.3
Luke Kornet,85,250,21.1
Kyle Kuzma,81,220,28.4
Zach LaVine,77,200,36.6
Damion Lee,78,210,43.9
Alex Len,85,250,0.0
Kawhi Leonard,79,230,44.6
Meyers Leonard,85,255,50.0
Caris LeVert,79,204,43.4
Damian Lillard,75,195,42.8
Kevon Looney,81,220,0.0
Brook Lopez,84,270,41.9
Robin Lopez,84,275,60.0
Kevin Love,82,251,31.2
Kyle Lowry,73,196,32.2
Trey Lyles,82,234,33.6
Boban Marjanovic,87,290,0.0
Lauri Markkanen,84,240,36.4
CJ McCollum,75,190,37.8
T.J. McConnell,74,190,41.9
Doug McDermott,80,225,46.9
JaVale McGee,84,270,0.0
Rodney McGruder,76,200,46.6
De'Anthony Melton,76,200,38.9
Chimezie Metu,82,225,29.7
Khris Middleton,80,222,28.7
Patty Mills,72,180,41.7
Shake Milton,78,207,38.2
Donovan Mitchell,75,215,36.1
Malik Monk,75,200,35.8
Marcus Morris,81,235,37.1
Monte Morris,75,175,33.3
Dejounte Murray,77,170,32.5
Jamal Murray,76,207,38.3
Mike Muscala,83,240,44.3
Svi Mykhailiuk,80,205,38.9
Larry Nance Jr.,81,230,40.6
Raul Neto,73,179,29.2
Georges Niang,80,230,37.5
Nerlens Noel,83,220,50.0
Frank Ntilikina,78,200,22.7
Jusuf Nurkic,84,275,38.3
Royce O'Neale,78,226,39.4
Josh Okogie,76,212,33.3
Victor Oladipo,76,210,35.5
Kelly Olynyk,84,240,46.2
Cedi Osman,80,215,40.1
Kelly Oubre Jr.,79,205,34.3
Chris Paul,72,175,40.2
Theo Pinson,78,218,20.5
Michael Porter Jr.,82,210,43.3
Otto Porter Jr.,80,198,50.0
Bobby Portis,83,250,33.7
Kristaps Porzingis,87,240,44.9
Dwight Powell,83,240,0.0
Norman Powell,76,215,34.0
Taurean Prince,80,220,40.8
Julius Randle,81,250,33.6
Davon Reed,77,208,28.9
Josh Richardson,78,200,36.6
Austin Rivers,76,200,37.7
Duncan Robinson,80,210,38.3
Derrick Rose,75,200,33.3
Terrence Ross,79,206,34.9
Terry Rozier,73,190,31.2
Ricky Rubio,76,190,25.2
D'Angelo Russell,77,198,38.5
Domantas Sabonis,83,240,30.4
Dario Saric,82,223,38.0
Dennis Schroder,73,172,33.9
Collin Sexton,74,190,41.1
Landry Shamet,77,188,35.6
Pascal Siakam,81,230,31.4
Anfernee Simons,76,185,33.4
Marcus Smart,76,220,34.5
Dennis Smith Jr.,75,195,21.6
Ish Smith,72,175,14.3
Edmond Sumner,78,176,31.1
Jayson Tatum,80,208,31.4
Garrett Temple,78,195,45.7
Daniel Theis,80,243,12.5
Klay Thompson,79,215,41.0
Karl-Anthony Towns,84,248,34.8
PJ Tucker,78,245,37.4
Myles Turner,83,250,38.2
Jonas Valanciunas,84,265,44.1
Jarred Vanderbilt,81,214,19.4
Fred VanVleet,72,195,32.3
Noah Vonleh,81,250,20.0
Nikola Vucevic,84,260,41.0
Moritz Wagner,83,245,31.2
Lonnie Walker IV,77,205,35.9
Kemba Walker,73,184,20.5
John Wall,76,210,26.1
T.J. Warren,80,215,29.1
Yuta Watanabe,81,205,54.3
Russell Westbrook,75,200,37.0
Derrick White,76,190,40.9
Andrew Wiggins,80,194,39.2
Robert Williams III,82,240,0.0
Kenrich Williams,79,210,35.4
Justise Winslow,79,225,27.5
Christian Wood,82,214,39.9
Delon Wright,77,183,34.2
Thaddeus Young,80,221,17.1
Trae Young,74,180,33.2
Cody Zeller,84,240,0.0
Ivica Zubac,85,240,0.0
Danuel House Jr.,79,220,26.4
Gary Trent Jr.,78,205,36.9
Haywood Highsmith,79,220,39.8
